105
# x y z
-1	-1.7217293090531	5
-1	-1.7217293090531	6
-1	-1.7217293090531	7
-1	-1.7217293090531	8
-1	-1.7217293090531	9
-1	-1.7217293090531	10
-1	-1.7217293090531	11
-1	-1.7217293090531	12
-1	-1.7217293090531	13
-1	-1.7217293090531	14
-1	-1.7217293090531	15
-1	-1.7217293090531	16
-1	-1.7217293090531	17
-1	-1.7217293090531	18
-1	-1.7217293090531	19
-1	-1.7217293090531	20
-1	-1.7217293090531	21
-1	-1.7217293090531	22
-1	-1.7217293090531	23
-1	-1.7217293090531	24
-1	-1.7217293090531	25
-0.5	-1.7217293090531	5
-0.5	-1.7217293090531	6
-0.5	-1.7217293090531	7
-0.5	-1.7217293090531	8
-0.5	-1.7217293090531	9
-0.5	-1.7217293090531	10
-0.5	-1.7217293090531	11
-0.5	-1.7217293090531	12
-0.5	-1.7217293090531	13
-0.5	-1.7217293090531	14
-0.5	-1.7217293090531	15
-0.5	-1.7217293090531	16
-0.5	-1.7217293090531	17
-0.5	-1.7217293090531	18
-0.5	-1.7217293090531	19
-0.5	-1.7217293090531	20
-0.5	-1.7217293090531	21
-0.5	-1.7217293090531	22
-0.5	-1.7217293090531	23
-0.5	-1.7217293090531	24
-0.5	-1.7217293090531	25
0	-1.7217293090531	5
0	-1.7217293090531	6
0	-1.7217293090531	7
0	-1.7217293090531	8
0	-1.7217293090531	9
0	-1.7217293090531	10
0	-1.7217293090531	11
0	-1.7217293090531	12
0	-1.7217293090531	13
0	-1.7217293090531	14
0	-1.7217293090531	15
0	-1.7217293090531	16
0	-1.7217293090531	17
0	-1.7217293090531	18
0	-1.7217293090531	19
0	-1.7217293090531	20
0	-1.7217293090531	21
0	-1.7217293090531	22
0	-1.7217293090531	23
0	-1.7217293090531	24
0	-1.7217293090531	25
0.5	-1.7217293090531	5
0.5	-1.7217293090531	6
0.5	-1.7217293090531	7
0.5	-1.7217293090531	8
0.5	-1.7217293090531	9
0.5	-1.7217293090531	10
0.5	-1.7217293090531	11
0.5	-1.7217293090531	12
0.5	-1.7217293090531	13
0.5	-1.7217293090531	14
0.5	-1.7217293090531	15
0.5	-1.7217293090531	16
0.5	-1.7217293090531	17
0.5	-1.7217293090531	18
0.5	-1.7217293090531	19
0.5	-1.7217293090531	20
0.5	-1.7217293090531	21
0.5	-1.7217293090531	22
0.5	-1.7217293090531	23
0.5	-1.7217293090531	24
0.5	-1.7217293090531	25
1	-1.7217293090531	5
1	-1.7217293090531	6
1	-1.7217293090531	7
1	-1.7217293090531	8
1	-1.7217293090531	9
